"","pool","prevalence","above.llod","limit","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"1",1,0.001,0.05,35,0.001,0.001,1.0009848,1.0009848,1.0009848,1.0009848,0.999,0.000984800000000001,1.52e-05,0,0.9848,0.9848,0.999,0.0009848,1.52e-05,0,0.9848,0.982205762620297,0.987105977228237
"2",1,0.001,0.1,35,0.001,0.001,1.0009663,1.0009663,1.0009663,1.0009663,0.999,0.000966300000000001,3.37e-05,0,0.9663,0.9663,0.999,0.0009663,3.37e-05,0,0.9663,0.962574587920342,0.96975050553155
"3",1,0.001,0.15,35,0.001,0.001,1.0009472,1.0009472,1.0009472,1.0009472,0.999,0.000947200000000001,5.28e-05,0,0.9472,0.9472,0.999,0.0009472,5.28e-05,0,0.9472,0.942634900904161,0.951502376353151
"4",1,0.001,0.2,35,0.001,0.001,1.0009221,1.0009221,1.0009221,1.0009221,0.999,0.000922100000000001,7.79000000000001e-05,0,0.9221,0.9221,0.999,0.0009221,7.79e-05,0,0.9221,0.916673137906632,0.927279490168435
"5",1,0.001,0.25,35,0.001,0.001,1.0008872,1.0008872,1.0008872,1.0008872,0.999,0.000887200000000001,0.0001128,0,0.8872,0.8872,0.999,0.0008872,0.0001128,0,0.8872,0.880836606835055,0.893336902556166
"6",1,0.001,0.3,35,0.001,0.001,1.0008558,1.0008558,1.0008558,1.0008558,0.999,0.000855800000000001,0.0001442,0,0.8558,0.8558,0.999,0.0008558,0.0001442,0,0.8558,0.848761231671506,0.86263086229582
"7",1,0.01,0.05,35,0.01,0.01,1.009856,1.009856,1.009856,1.009856,0.99,0.00985600000000001,0.000144,0,0.9856,0.9856,0.99,0.009856,0.000144,0,0.9856,0.983068350532834,0.987842709280846
"8",1,0.01,0.1,35,0.01,0.01,1.009629,1.009629,1.009629,1.009629,0.99,0.00962900000000001,0.000371,0,0.9629,0.9629,0.99,0.009629,0.000371,0,0.9629,0.959008216015292,0.966519105573268
"9",1,0.01,0.15,35,0.01,0.01,1.009501,1.009501,1.009501,1.009501,0.99,0.009501,0.000499,0,0.9501,0.9501,0.99,0.009501,0.000499,0,0.9501,0.945649488744703,0.954285979470288
"10",1,0.01,0.2,35,0.01,0.01,1.009216,1.009216,1.009216,1.009216,0.99,0.009216,0.000784,0,0.9216,0.9216,0.99,0.009216,0.000784,0,0.9216,0.916157893026161,0.926795036986645
"11",1,0.01,0.25,35,0.01,0.01,1.008855,1.008855,1.008855,1.008855,0.99,0.008855,0.001145,0,0.8855,0.8855,0.99,0.008855,0.001145,0,0.8855,0.879096566123493,0.891677953049838
"12",1,0.01,0.3,35,0.01,0.01,1.008589,1.008589,1.008589,1.008589,0.99,0.008589,0.001411,0,0.8589,0.8589,0.99,0.008589,0.001411,0,0.8589,0.851922383665465,0.865667880801139
"13",1,0.1,0.05,35,0.1,0.1,1.09838,1.09838,1.09838,1.09838,0.9,0.09838,0.00162,0,0.9838,0.9838,0.9,0.09838,0.00162,0,0.9838,0.981129903641355,0.986182663866475
"14",1,0.1,0.1,35,0.1,0.1,1.09632,1.09632,1.09632,1.09632,0.9,0.09632,0.00368,0,0.9632,0.9632,0.9,0.09632,0.00368,0,0.9632,0.959322542488491,0.966804583898444
"15",1,0.1,0.15,35,0.1,0.1,1.09498,1.09498,1.09498,1.09498,0.9,0.09498,0.00502,0,0.9498,0.9498,0.9,0.09498,0.00502,0,0.9498,0.945337455576391,0.95399820027267
"16",1,0.1,0.2,35,0.1,0.1,1.09226,1.09226,1.09226,1.09226,0.9,0.09226,0.00774,0,0.9226,0.9226,0.9,0.09226,0.00774,0,0.9226,0.917188446314858,0.927763879711868
"17",1,0.1,0.25,35,0.1,0.1,1.08823,1.08823,1.08823,1.08823,0.9,0.08823,0.01177,0,0.8823,0.8823,0.9,0.08823,0.01177,0,0.8823,0.875822377382092,0.88855404122956
"18",1,0.1,0.3,35,0.1,0.1,1.08607,1.08607,1.08607,1.08607,0.9,0.08607,0.01393,0,0.8607,0.8607,0.9,0.08607,0.01393,0,0.8607,0.853758401074021,0.8674308006547
"19",1,0.15,0.05,35,0.15,0.15,1.147675,1.147675,1.147675,1.147675,0.85,0.147675,0.002325,0,0.9845,0.9845,0.85,0.147675,0.002325,0,0.9845,0.981882737428407,0.98682925317638
"20",1,0.15,0.1,35,0.15,0.15,1.14433,1.14433,1.14433,1.14433,0.85,0.14433,0.00567,0,0.9622,0.9622,0.85,0.14433,0.00567,0,0.9622,0.958275039439752,0.965852736661249
"21",1,0.15,0.15,35,0.15,0.15,1.142395,1.142395,1.142395,1.142395,0.85,0.142395,0.007605,0,0.9493,0.9493,0.85,0.142395,0.007605,0,0.9493,0.944817494016025,0.953518474295709
